sample_token,tip_cheap,tip_full,G_TIP
0037a705a2e04559b1bba6c01beca1cf,-0.01428003329783678,-0.012522234581410885,0.0017577987164258957
02229f185fe44a0780d24ed8a2b5af49,-0.06895304471254349,-0.06378976255655289,0.005163282155990601
023a58306058440988b0ca496bdf9c2e,-0.042203497141599655,-0.10171546787023544,-0.05951197072863579
026155aa1c554e2f87914ec9ba80acae,-0.0715031698346138,-0.07166220247745514,-0.0001590326428413391
02651ca22b08484294d473d9c26cd9af,-0.15256796777248383,-0.15573307871818542,-0.003165110945701599
028a3f3a237e469cb099f6d9c8e7f2f4,-0.09707269072532654,-0.0939728245139122,0.003099866211414337
046d4e3b185a4b15b5784331d7633565,-0.04978680610656738,-0.005372308660298586,0.0444144974462688
0526f810f7754fe8b8a4ae62fc76c535,-0.18507817387580872,-0.16360950469970703,0.021468669176101685
05699704028c40708d98ab16374fd748,-0.010252781212329865,-0.005158813204616308,0.005093968007713556
05cf2a68a2cf4ff1838034f8ecae0c82,-0.12636642158031464,-0.19649896025657654,-0.0701325386762619
05e8bcefb9e442ceb0c8d16b745974e0,-0.012921351939439774,-0.022565750405192375,-0.009644398465752602
0637df67b6fe4c5087e9139089ba1b49,0.0,0.0,0.0
08254b97198045d98009af51d144d147,-0.0005483615677803755,-0.002233239123597741,-0.0016848775558173656
08303db5860e4e67b5b4ab7c30d41902,-0.07958143204450607,-0.06792320311069489,0.011658228933811188
0963783c3e71478fbba311287a1a5b42,0.0,0.0,0.0
09e58f5b8acb45a9a9c8c186895efa59,-0.10008587688207626,-0.10670239478349686,-0.006616517901420593
0a535567072a48a38a7213778550dcaf,-0.01745237596333027,-0.003523994702845812,0.013928381260484457
0a66d3360b3e46228e210dd6a651ded2,-0.09634238481521606,-0.09463591128587723,0.0017064735293388367
0b47858110f442afa33226467f596df7,-0.03633209317922592,-0.03450082987546921,0.0018312633037567139
0ba00e2623814934b1b00ec2b461a125,-0.0059098172932863235,-0.008704405277967453,-0.0027945879846811295
0bcb08a96d264c8ca9f2119c6b0dbeb2,-0.022858163341879845,-0.022132879123091698,0.000725284218788147
0d2ebc600fc449f6b7a95f1f69ee52d1,-0.0227796733379364,-0.0227796733379364,0.0
0e27960b86db475e9dcf750295deb1b7,-0.0842614471912384,-0.0842614471912384,0.0
0e8782aa721545caabc7073d32fb1fb1,-0.08522984385490417,-0.06572026759386063,0.01950957626104355
0f5cbb909e9544dd861dc2ff63ac4d13,-0.10955460369586945,-0.107697494328022,0.0018571093678474426
112aa7a7edfc4df6b8e9775b14f74e12,-0.026392098516225815,-0.024480385705828667,0.0019117128103971481
11514e9bc4184a1f8bcdc1fe7aafad2d,-0.07686614990234375,-0.025356553494930267,0.05150959640741348
1175f341a78a4877bc5257cbc763aef5,-0.05744257941842079,-0.057202838361263275,0.00023974105715751648
1259283ec9f549d4b26c98ee76c654a6,-0.05011768639087677,-0.045574791729450226,0.004542894661426544
140c678882194ae69e47136c81168b6d,-0.1455870270729065,-0.15203355252742767,-0.006446525454521179
149f03b275944abc95aa59709a726bff,-0.12574277818202972,-0.13537542521953583,-0.009632647037506104
14d5adfe50bb4445bc3aa5fe607691a8,-0.017778966575860977,-0.018013846129179,-0.00023487955331802368
15222be375f74f0d843a4289d18c746a,-0.04221595078706741,-0.03170909732580185,0.010506853461265564
1525755f9f8948f1a2f056039971fd70,-0.022004133090376854,-0.017061857506632805,0.004942275583744049
15e8288c2e60438bb4d65702ff0df804,-0.03684687986969948,-0.03982163593173027,-0.0029747560620307922
16011bbf9d634b099c5ff9a352d26c9e,-0.007608339656144381,-0.010496439412236214,-0.002888099756091833
160fa0f8e77b41409a98341093a7cace,-0.10634200274944305,-0.12594787776470184,-0.01960587501525879
163b70e627854893b88575caf85a56ea,-0.034312546253204346,-0.03732142969965935,-0.003008883446455002
16a2b81fe8554e7cb545a6df0b594977,-0.061762213706970215,-0.03769729286432266,0.024064920842647552
16c4a3eac2a54160a30b559855584cd8,-0.008361317217350006,-0.01438167504966259,-0.006020357832312584
1735e827e28040969f9172469b5f71a5,-0.0776258334517479,-0.0776258334517479,0.0
1808fbc3531c415fb77531c05b2547ae,-0.06378496438264847,-0.07420942932367325,-0.01042446494102478
185dd9f6bc6b4cffbb23ac2ed72b3bb6,-0.07656190544366837,-0.0742042139172554,0.002357691526412964
18b3ef8c389240f39196a55621eb1930,0.0,0.0,0.0
1906aa07e1914059914e62ee02ccb50f,-0.10181982070207596,-0.08349316567182541,0.01832665503025055
19689911bd0e40adb943b0f97ea84a6a,-0.01242988370358944,-0.017370469868183136,-0.004940586164593697
1981ee55006c4e00823d29de105d1680,-0.22705970704555511,-0.133224219083786,0.0938354879617691
19ffc60b7e9f429cbca0dbd5e2fc2e03,-0.03488917648792267,-0.02797529846429825,0.00691387802362442
1a9894a106fe444c9f35126426563d43,-0.056143466383218765,-0.07525032013654709,-0.019106853753328323
1ac0914c98b8488cb3521efeba354496,-0.16083553433418274,-0.15319885313510895,0.0076366811990737915
1b5a6659994e466991ba17e9998fc05e,0.0,-0.007325011305510998,-0.007325011305510998
1c5d68d702df41fab44824a6b8e360c9,-0.14477957785129547,-0.14846234023571014,-0.003682762384414673
1c79e219a67b4dfcb42b0628d6c76eb0,-0.05349506810307503,-0.0588187538087368,-0.005323685705661774
1c81b06c812b47788462c31f58b6c1d0,-0.0067910063080489635,-0.014511815272271633,-0.00772080896422267
