scenario,log,iteration,ego_speed,ego_accel,n_cheap,n_cheap_fov,n_cheap_fov_bicycle,n_cheap_fov_pedestrian,n_cheap_fov_vehicle,n_static_fov,min_range_fov,min_gap_corridor,n_corridor_20,n_corridor_40,min_ttc_corridor,n_fov_band_30_40,crit_cheap_sum,crit_cheap_max,n_red_lights,d_n_cheap_fov,crit_sum_gt,dE_E1_fn_only,dE_E6_risk_weighted
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,4,-0.0005429252962153635,-5.9968453247005987e-05,124,6,0,0,6,65,8.9390505149997,6.5011746063348,1,1,20.0,1,1.4239797713724123,0.4638445006298628,11,0,1.9661825338709322,2.0,1.4595000995307386e-12
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,17,-0.000336645695719742,-0.024137818925238485,122,6,0,0,6,64,8.925666553129531,6.498773477856975,1,1,20.0,0,1.4009631201240333,0.4639001914848056,11,2,2.1728741784375076,4.0,0.19929859043478806
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,30,-0.0012071025289129944,-0.0038259360354090015,121,7,0,0,7,64,8.94359733243198,6.502698831056655,1,1,20.0,3,1.5311513465405917,0.4638091518141206,11,0,2.0609080344033184,3.0,8.526714183792789e-13
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,43,0.0010795118724946941,-0.021312380339304188,122,6,0,0,6,64,8.954097944317649,6.506237969002566,1,1,20.0,1,1.4000096943872193,0.4637270848470504,11,1,2.042709535104291,3.0,0.20901963801264753
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,57,0.000895089158247243,0.03152439497409638,132,8,0,1,7,66,8.945654259220651,6.491892732387585,1,1,20.0,2,1.5723332893354396,0.4640598178989897,11,4,2.0959767090634283,3.0,0.026012143674315272
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,70,-0.0003042979220166506,-0.007472312686378771,127,7,0,1,6,63,8.954429841707107,6.504635426018684,1,1,20.0,1,1.485424178238199,0.46376424346505046,11,0,2.0379239016818493,5.0,1.0826969207799366e-12
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,83,-0.00042923100403915467,0.004331289431595203,126,8,0,0,8,62,8.943846521727389,6.505695788520919,1,1,20.0,1,1.483618254559197,0.463739656206159,11,1,1.9208340928370091,1.0,0.00041438137727424306
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,96,0.00011803599879514329,-0.003915917472061955,121,6,0,0,6,61,8.985879985025619,6.5257161991352355,1,1,20.0,0,1.4893459209573994,0.46327567555521226,11,0,1.851228366679788,2.0,6.065814343868643e-24
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,110,0.0006919843582505234,0.024605701597615152,119,4,0,0,4,62,8.998153492948722,6.553901425347661,1,1,20.0,0,1.4966911912649559,0.46262325889025846,11,0,1.7757816417955583,6.0,0.054790155014111615
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,123,-0.00074673822137089,-0.029868958779728633,124,7,0,1,6,64,8.986295022472046,6.544209509102773,1,1,20.0,0,1.526051974614281,0.46284749851256624,11,1,1.7511688407954646,2.0,-2.8340127462706793e-16
