sample_token,JC_mean_m_cheap,JC_max_m_cheap,JC_final_m_cheap,JC_lat_mean_m_cheap,JC_soft_mean_m_cheap,JC_soft_max_m_cheap,JC_soft_final_m_cheap,JC_soft_lat_mean_m_cheap,JC_mean_m_full,JC_max_m_full,JC_final_m_full,JC_lat_mean_m_full,JC_soft_mean_m_full,JC_soft_max_m_full,JC_soft_final_m_full,JC_soft_lat_mean_m_full,JC_cheap,JC_full,dJC,dJC_soft
007cbcb1390c440fb48baf3478d1b529,9.75,14.400000000000006,14.400000000000006,0.0,1.3850431703241526,2.4454056307087106,0.720982386009418,0.032551288604737216,10.575,21.6,21.6,0.0,1.4393816338613936,2.5198121913896303,0.7218427456869868,0.027342939376830966,9.75,10.575,-0.8249999999999993,-0.05433846353724103
012f334ee21b46be8133515d1ca58bc9,0.7499999999999996,4.799999999999997,0.0,0.0,0.43127355603208134,0.5154559138612278,0.3590707304148921,0.026456022262574486,2.7106601717798204,8.48528137423857,0.0,0.15000000000000036,0.5262494909540201,0.6879454129307664,0.4216057417085747,0.02647504806518519,0.7499999999999996,2.7106601717798204,-1.9606601717798209,-0.09497593492193873
015a6df7ed1846f9983d0a40005f2d8b,2.4,6.0,4.799999999999997,0.0,0.5345780849317585,0.8067132071365453,0.22700043389251995,0.0070801734924317294,2.25,6.0,4.799999999999997,0.0,0.4796775983796438,0.7525639271595574,0.18435516380154765,0.007420349121093128,2.4,2.25,0.1499999999999999,0.05490048655211471
0455b852008c4b38be278c2e7401cc08,0.4514823628377814,4.326661530556789,1.1999999999999957,0.375,0.054941871983925715,0.09768024626596922,0.09768024626596922,0.025643062591552468,0.4514823628377814,4.326661530556789,1.1999999999999957,0.375,0.056753609968395125,0.09726754884655553,0.09726754884655553,0.027139091491700018,0.4514823628377814,0.4514823628377814,0.0,-0.0018117379844694095
045ecf94b83648229500b23058af3117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04f790baf5a44f359a8b797be0550994,3.9221006492430206,7.299315036357867,4.9477267507411975,0.7500000000000018,0.5983481992787144,0.939474945918119,0.2923243716005682,0.04585146903991699,3.83233345352184,7.299315036357867,4.9477267507411975,0.6750000000000016,0.5859467388969646,0.913947829609775,0.2869147263312591,0.043628168106078835,3.9221006492430206,3.83233345352184,0.08976719572118075,0.01240146038174983
04fdfebbf5a041edac1db9097a7e82e6,0.33106601717798256,1.6970562748477156,0.0,0.07500000000000018,0.06668094387702528,0.11134903920728403,0.11134903920728403,0.005984401702879616,0.4500000000000002,3.6000000000000014,3.6000000000000014,0.0,0.07341727091991931,0.17089702438212767,0.008615612437116012,0.004144334793090287,0.33106601717798256,0.4500000000000002,-0.11893398282201761,-0.006736327042894036
050338e5f60f4381a6c5436488a24139,0.07499999999999973,1.1999999999999957,0.0,0.0,0.028436154379989698,0.06773560855123237,0.010124010488050644,0.002765464782714222,0.07499999999999973,1.1999999999999957,0.0,0.0,0.03086757610151614,0.07527885173631325,0.010375721311237518,0.0038897037506098187,0.07499999999999973,0.07499999999999973,0.0,-0.0024314217215264423
05334c5d74b349798d1fc8bd51d64501,0.6000000000000005,3.6000000000000014,0.0,0.0,0.05068786912594559,0.1310681235502812,0.0205849014366243,0.009812307357787375,0.6000000000000005,3.6000000000000014,0.0,0.0,0.05068786912594559,0.1310681235502812,0.0205849014366243,0.009812307357787375,0.6000000000000005,0.6000000000000005,0.0,0.0
055a989050974ba7b20ef264acfab0d7,1.7249999999999999,4.799999999999997,3.6000000000000014,0.0,0.40647104433441056,0.6417432962434213,0.13700613703304834,0.003726768493651722,1.6499999999999997,4.799999999999997,3.6000000000000014,0.0,0.39248850412279856,0.6240718432955652,0.1265833255568186,0.0038686752319323503,1.7249999999999999,1.6499999999999997,0.07500000000000018,0.013982540211611993
